"filename", "language", "JavaScript", "Markdown", "XML", "JSON", "JSON with Comments", "JavaScript JSX", "CSS", "comment", "blank", "total"
"h:\Client Projects\faith-import-trade\components\Hero\ManifestoScrollytelling\SingleManifesto.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"h:\Client Projects\faith-import-trade\components\Hero\ManifestoScrollytelling\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 4, 45
"h:\Client Projects\faith-import-trade\components\Hero\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 275, 3, 299
"h:\Client Projects\faith-import-trade\components\ScrollToTop\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 2, 9, 50
"h:\Client Projects\faith-import-trade\components\Services\Computers\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 2, 29
"h:\Client Projects\faith-import-trade\components\Services\Computers\itemsData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 251, 0, 5, 11, 267
"h:\Client Projects\faith-import-trade\components\Services\ItemCategories.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 7, 3, 56
"h:\Client Projects\faith-import-trade\components\Services\Maintenance\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\Client Projects\faith-import-trade\components\Services\ServicesContact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"h:\Client Projects\faith-import-trade\components\Services\ServicesMaintenance.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"h:\Client Projects\faith-import-trade\components\Services\Stationary\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\Client Projects\faith-import-trade\components\Testimonials\CornerImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 264, 0, 0, 2, 266
"h:\Client Projects\faith-import-trade\components\Testimonials\TestimonialsData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 1, 69
"h:\Client Projects\faith-import-trade\components\Testimonials\TestimonialsSlider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 149, 0, 1, 12, 162
"h:\Client Projects\faith-import-trade\components\Testimonials\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 4, 78
"h:\Client Projects\faith-import-trade\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 4, 0, 0, 4, 0, 8
"h:\Client Projects\faith-import-trade\next.config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"h:\Client Projects\faith-import-trade\package-lock.json", "JSON", 0, 0, 0, 2143, 0, 0, 0, 0, 1, 2144
"h:\Client Projects\faith-import-trade\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"h:\Client Projects\faith-import-trade\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"h:\Client Projects\faith-import-trade\public\images\404.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"h:\Client Projects\faith-import-trade\public\images\footer-map.svg", "XML", 0, 0, 941, 0, 0, 0, 0, 0, 1, 942
"h:\Client Projects\faith-import-trade\public\images\logo\icon-logo.svg", "XML", 0, 0, 1527, 0, 0, 0, 0, 0, 2, 1529
"h:\Client Projects\faith-import-trade\public\images\logo\logo-2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"h:\Client Projects\faith-import-trade\public\images\logo\logo-icon-rotate.svg", "XML", 0, 0, 1527, 0, 0, 0, 0, 0, 2, 1529
"h:\Client Projects\faith-import-trade\public\images\logo\logo-icon.svg", "XML", 0, 0, 2204, 0, 0, 0, 0, 0, 1, 2205
"h:\Client Projects\faith-import-trade\public\images\logo\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"h:\Client Projects\faith-import-trade\public\images\logo\main-logo.svg", "XML", 0, 0, 7732, 0, 0, 0, 0, 0, 1, 7733
"h:\Client Projects\faith-import-trade\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"h:\Client Projects\faith-import-trade\public\thirteen.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"h:\Client Projects\faith-import-trade\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"h:\Client Projects\faith-import-trade\tailwind.config.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 7, 7, 75
"h:\Client Projects\faith-import-trade\utils\font\font.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"Total", "-", 101, 1, 13937, 2171, 4, 4205, 274, 346, 282, 21321
